ID,fixed acidity,wine type,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,9.0,white,0.27,0.35,4.9,0.028,27.0,95.0,0.9932,3.04,0.4,11.3,6
1,7.1,white,0.36,0.37,4.8,0.019,39.0,114.0,0.99036,3.08,0.49,12.7,7
2,6.4,white,0.18,0.48,4.0,0.186,64.0,150.0,0.9945,3.06,0.4,9.3,5
3,6.7,white,0.33,0.49,1.6,0.167,20.0,94.0,0.9914,3.11,0.5,11.4,6
4,6.2,white,0.25,0.31,3.2,0.03,32.0,150.0,0.99014,3.18,0.31,12.0,6
5,7.4,white,0.41,0.66,10.8,0.051,77.0,194.0,0.9976,3.05,0.46,8.7,5
6,8.8,red,0.685,0.26,1.6,0.088,16.0,23.0,0.99694,3.32,0.47,9.4,5
7,9.2,white,0.22,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,4
8,6.5,white,0.52,0.17,1.4,0.047,5.0,26.0,0.9932,3.26,0.32,10.0,4
9,6.9,white,0.19,0.35,13.5,0.038,49.0,118.0,0.99546,3.0,0.63,10.7,6
10,5.3,white,0.395,0.07,1.3,0.035,26.0,102.0,0.992,3.5,0.35,10.6,6
11,8.6,white,0.2,0.42,1.5,0.041,35.0,125.0,0.9925,3.11,0.49,11.4,7
12,5.7,white,0.43,0.3,5.7,0.039,24.0,98.0,0.992,3.54,0.61,12.3,7
13,7.6,white,0.29,0.49,9.6,0.03,45.0,197.0,0.9938,3.13,0.38,12.3,7
14,7.1,white,0.25,0.25,1.6,0.046,50.0,181.0,0.9925,3.2,0.42,11.0,7
15,6.2,white,0.235,0.34,1.9,0.036,4.0,117.0,0.99032,3.4,0.44,12.2,5
16,6.5,white,0.14,0.32,2.7,0.037,18.0,89.0,0.9924,3.4,0.74,11.5,7
17,6.6,white,0.37,0.24,2.0,0.064,23.0,120.0,0.9946,3.32,0.54,9.4,5
18,7.4,red,0.635,0.1,2.4,0.08,16.0,33.0,0.99736,3.58,0.69,10.8,7
19,6.8,white,0.16,0.18,1.8,0.046,31.0,114.0,0.99226,3.27,0.55,10.8,6
20,6.1,white,0.3,0.47,1.4,0.049,50.0,187.0,0.9927,3.19,0.45,9.5,5
21,8.4,red,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.89,11.8,6
22,7.2,red,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6
23,6.3,white,0.37,0.51,6.3,0.048,35.0,146.0,0.9943,3.1,1.01,10.5,6
24,7.0,white,0.13,0.37,12.85,0.042,36.0,105.0,0.99581,3.05,0.55,10.7,6
25,5.9,white,0.14,0.25,4.5,0.027,34.0,140.0,0.9934,3.49,0.51,10.8,6
26,7.7,red,0.715,0.01,2.1,0.064,31.0,43.0,0.99371,3.41,0.57,11.8,6
27,7.5,white,0.18,0.31,6.5,0.029,53.0,160.0,0.99276,3.03,0.38,10.9,6
28,6.7,white,0.37,0.25,2.5,0.028,24.0,84.0,0.9909,3.14,0.36,11.7,6
29,8.7,red,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,3.0,1.17,9.2,5
30,6.5,white,0.32,0.45,7.7,0.022,31.0,97.0,0.99134,3.2,0.7,12.7,7
31,6.2,white,0.3,0.3,2.5,0.041,29.0,82.0,0.99065,3.31,0.61,11.8,7
32,8.6,white,0.23,0.25,11.3,0.031,13.0,96.0,0.99645,3.11,0.4,10.8,5
33,7.7,red,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5
34,6.0,white,0.39,0.17,12.0,0.046,65.0,246.0,0.9976,3.15,0.38,9.0,6
35,6.1,white,0.38,0.42,5.0,0.016,31.0,113.0,0.99007,3.15,0.31,12.4,7
36,10.4,red,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,7
37,7.0,red,0.54,0.09,2.0,0.081,10.0,16.0,0.99479,3.43,0.59,11.5,6
38,7.3,white,0.19,0.49,15.55,0.058,50.0,134.0,0.9998,3.42,0.36,9.1,7
39,6.8,white,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5
40,5.6,white,0.33,0.28,1.2,0.031,33.0,97.0,0.99126,3.49,0.58,10.9,6
41,15.0,red,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7
42,7.1,white,0.14,0.33,1.0,0.104,20.0,54.0,0.99057,3.19,0.64,11.5,6
43,6.4,red,0.53,0.09,3.9,0.123,14.0,31.0,0.9968,3.5,0.67,11.0,4
44,6.5,white,0.2,0.35,3.9,0.04,27.0,140.0,0.99102,2.98,0.53,11.8,6
45,6.8,white,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,3.3,0.43,9.4,5
46,7.3,white,0.2,0.29,19.5,0.039,69.0,237.0,1.00037,3.1,0.48,9.2,6
47,7.8,white,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,7
48,7.2,white,0.24,0.3,1.6,0.048,27.0,131.0,0.9933,3.25,0.45,10.5,5
49,6.8,white,0.34,0.1,1.4,0.049,29.0,118.0,0.9936,3.21,0.41,9.5,5
50,6.2,white,0.37,0.3,6.6,0.346,79.0,200.0,0.9954,3.29,0.58,9.6,5
51,10.1,red,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.65,11.6,7
52,8.6,red,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5
53,8.3,white,0.26,0.31,2.0,0.029,14.0,141.0,0.99077,2.95,0.77,12.2,6
54,6.1,white,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47,11.2666666666667,7
55,6.3,white,0.13,0.42,1.1,0.043,63.0,146.0,0.99066,3.13,0.72,11.2,7
56,7.6,red,0.5,0.29,2.3,0.086,5.0,14.0,0.99502,3.32,0.62,11.5,6
57,6.5,white,0.22,0.45,8.0,0.053,52.0,196.0,0.9959,3.23,0.48,9.1,6
58,6.8,white,0.3,0.35,2.8,0.038,10.0,164.0,0.9912,3.09,0.53,12.0,6
59,8.0,white,0.27,0.57,10.4,0.053,18.0,134.0,0.99732,3.12,0.68,9.0,5
60,5.6,white,0.23,0.25,8.0,0.043,31.0,101.0,0.99429,3.19,0.42,10.4,6
61,8.8,red,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,6
62,7.3,white,0.28,0.35,1.6,0.054,31.0,148.0,0.99178,3.18,0.47,10.7,5
63,8.1,white,0.2,0.28,0.9,0.023,49.0,87.0,0.99062,2.92,0.36,11.1,6
64,7.2,white,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5
65,7.7,white,0.28,0.63,11.1,0.039,58.0,179.0,0.9979,3.08,0.44,8.8,4
66,10.7,red,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,7
67,6.6,white,0.39,0.39,11.9,0.057,51.0,221.0,0.99851,3.26,0.51,8.9,6
68,8.4,white,0.29,0.29,1.05,0.032,4.0,55.0,0.9908,2.91,0.32,11.4,4
69,6.4,white,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7
70,9.4,white,0.23,0.56,16.45,0.063,52.5,282.0,1.00098,3.1,0.51,9.3,5
71,7.2,white,0.55,0.09,1.5,0.108,16.0,151.0,0.9938,3.07,0.57,9.2,4
72,6.4,white,0.3,0.3,2.25,0.038,8.0,210.0,0.9937,3.2,0.62,9.9,6
73,6.8,white,0.18,0.28,1.1,0.027,32.0,112.0,0.99089,3.15,0.45,11.0,7
